Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"68","ARTEMISMED","Artemis Medicare Services","265.00","-9.85","-3.58","77","94","79","A-","69","3781.99","60322","227629","-13.03","101.95","-61.64","-0.28","31.73","73.00","83.00","2017-07-20","Medical-Hospitals       ",
"69","539176","Hawa Engineers Dt","209.95","-11.00","-4.98","77","68","83","B","75","77.91","1621","7720","-37.88","142.27","-73.20","15.22","29.22","89.00","81.00","-","Metal Proc & Fabrication",
"70","PRIMESECU","Prime Securities","324.80","9.75","3.09","77","96","86","A-","103","1056.93","35254","108542","-4.44","139.04","50.71","7.99","42.28","85.00","88.00","-","Finance-Invest Bnk/Bkrs ",
"71","EFACTOR","E Factor Experiences Ltd","272.80","-5.20","-1.87","77","99","86","B+","43","363.85","10026","36752","-8.98","148.21","-47.76","18.76","50.41","92.00","90.00","2023-10-09","Diversified Operations  ",
"72","526703","Ecoplast","566.90","4.40","0.78","77","35","87","A","13","168.75","1251","2206","-11.42","226.28","-76.75","-2.84","31.06","66.00","82.00","-","Chemicals-Plastics      ",
"73","HIRECT","Hind Rectifiers","1048.00","1.80","0.17","77","71","88","B+","11","1792.98","54907","52392","-13.21","158.19","-20.25","14.79","43.72","91.00","88.00","-","Elec-Misc Products      ",
"74","RBMINFRA","Rbm Infracon","781.00","0.00","0.00","77","99","91","B-","91","789.04","42583","54524","-25.55","273.68","-79.46","-7.17","22.45","72.00","85.00","2023-01-04","Oil&Gas-Field Services  ",
"75","544073","Manoj Ceramic Ltd","209.45","0.00","0.00","77","56","93","A","122","174.56","5228","24960","0.00","186.53","-71.96","52.59","65.71","97.00","94.00","2024-01-03","Bldg-Constr Prds/Misc   ",
"76","WOCKPHARMA","Wockhardt","1068.80","-52.65","-4.69","77","37","94","A+","32","17205.62","306488","286759","-5.12","425.89","144.45","10.60","58.16","89.00","92.00","-","Medical-Generic Drugs   ",
"77","539273","Pecos Hotels","303.00","-15.05","-4.73","77","67","94","A-","160","41.66","309","1020","-30.34","N/A","96.08","N/A","N/A","14.00","94.00","-","Leisure-Services        ",
"78","SMSLIFE","Sms Lifesciences India","1429.95","-20.05","-1.38","77","74","94","A-","41","438.34","3445","2409","-18.27","206.81","-86.14","-1.89","60.49","88.00","92.00","-","Medical-Diversified     ",
"79","MOTILALOFS","Motilal Oswal Finl.Svs.","878.80","-60.40","-6.43","77","97","94","B+","103","56218.07","2230446","2538059","-17.41","315.12","6.26","21.07","62.32","94.00","91.00","-","Finance-Invest Bnk/Bkrs ",
"80","PGEL","Pg Electroplast","581.00","-11.10","-1.87","77","99","95","A-","13","15491.35","868588","1494988","-16.28","303.60","-18.48","1.10","76.13","85.00","95.00","-","Chemicals-Plastics      ",
"81","505690","Brady & Morris Engr.","2136.70","-43.60","-2.00","77","93","96","A+","123","490.57","3088","1445","-14.92","410.07","-97.09","25.71","83.89","96.00","95.00","-","Machinery-Gen Industrial",
"82","517035","RIR Power Electronics","3580.00","-136.35","-3.67","77","96","97","A","19","2734.12","71156","19876","-26.62","552.05","-53.23","15.40","98.29","95.00","95.00","-","Elec-Semiconductor Mfg  ",
"83","504746","Indian Link Chain Mfs.","206.00","0.00","0.00","76","77","59","A","50","10.30","17","82","-5.09","N/A","0.00","N/A","N/A","76.00","58.00","-","Financial Svcs-Specialty",
"84","ADFFOODS","Adf Foods","274.00","-8.55","-3.03","76","88","70","B","129","3104.21","260003","948916","-15.56","35.12","-70.70","3.80","29.89","81.00","77.00","-","Food-Misc Preparation   ",
"85","EIMCOELECO","Eimco Elecon India","2590.00","-40.55","-1.54","76","93","73","C-","128","1517.30","21373","8252","-25.98","107.37","28.13","-8.91","18.51","18.00","61.00","-","Machinery-Constr/Mining ",
"86","530545","Cosco India","351.00","-26.65","-7.06","76","82","74","B","49","157.14","1996","5687","-19.45","87.98","-17.48","4.57","19.87","80.00","71.00","-","Leisure-Products        ",
"87","531199","Glance Finance","124.35","-4.40","-3.42","76","61","75","B","73","29.05","66","531","-14.59","N/A","-99.62","N/A","N/A","86.00","84.00","-","Finance-Investment Mgmt ",
"88","DYCL","Dynamic Cables","656.75","7.15","1.10","76","87","75","B+","101","1573.92","50253","76517","-3.42","92.45","610.70","17.68","28.47","90.00","80.00","2017-12-14","Telecom-Fiber Optics    ",
"89","ABB","ABB India","7532.90","-115.20","-1.51","76","93","75","C-","47","162069.36","2151630","285631","-17.67","98.65","0.58","-4.11","8.83","48.00","37.00","-","Electrical-Power/Equipmt",
"90","MASTER","Master Components Ltd","270.05","0.00","0.00","76","98","79","A-","13","108.02","313","1160","-28.93","107.73","72.41","-17.55","33.21","7.00","65.00","2023-09-29","Chemicals-Plastics      ",
"91","543578","Olatech Solutions","192.00","-4.65","-2.36","76","98","80","B","111","85.13","4344","22625","-32.43","139.58","-46.85","-11.86","14.65","57.00","71.00","2022-08-29","Computer Sftwr-Enterprse",
"92","UNICHEMLAB","Unichem Laboratories","768.60","-34.25","-4.27","76","27","85","A-","41","5652.55","89470","116407","-15.42","101.22","-32.64","25.09","44.08","94.00","90.00","-","Medical-Diversified     ",
"93","GLENMARK","Glenmark Pharms. (Nse)","1664.45","-10.10","-0.60","76","33","85","A-","32","47253.79","1840808","1105956","-9.09","131.90","-51.02","-1.40","35.26","72.00","82.00","-","Medical-Generic Drugs   ",
"94","ZOMATO","Zomato","251.95","-2.35","-0.92","76","84","85","B","26","224708.18","15103639","59946968","-15.52","151.16","11.43","-5.20","24.52","59.00","73.00","2021-07-23","Retail-Internet         ",
"95","GANECOS","Ganesha Ecosphere","2048.95","-36.05","-1.73","76","79","89","B","100","5284.85","219162","106963","-15.94","157.04","-55.87","6.50","52.73","85.00","91.00","-","Apparel-Clothing Mfg    ",
"96","BASF","Basf India (Nse)","7131.00","-270.40","-3.65","76","79","92","A-","77","32037.70","328440","46058","-18.50","202.23","-28.63","2.80","49.96","80.00","88.00","-","Chemicals-Specialty     ",
"97","507944","Bajaj Steel Industries","2889.00","-85.10","-2.86","76","93","93","A","128","1546.53","39646","13723","-17.45","196.21","-60.04","13.20","78.54","92.00","95.00","-","Machinery-Constr/Mining ",
"98","538713","Atishay","173.00","-6.00","-3.35","76","81","95","A","57","196.56","7001","40466","-14.78","358.97","-23.93","24.20","75.34","92.00","94.00","-","Computer-Tech Services  ",
"99","521244","MKP Mobility Ltd","241.00","-9.00","-3.60","76","61","95","E","100","85.28","52","214","-30.87","N/A","69.16","N/A","N/A","23.00","41.00","-","Apparel-Clothing Mfg    ",
"100","SHAKTIPUMP","Shakti Pumps India","4321.00","-90.80","-2.06","76","91","96","B+","123","8839.04","234708","54318","-15.68","374.92","5.85","0.03","54.54","54.00","90.00","-","Machinery-Gen Industrial",
"101","502901","Jamshri Realty","173.70","-3.50","-1.98","76","51","96","B-","100","123.81","4010","23085","-41.25","390.72","-92.32","-20.83","52.94","13.00","89.00","-","Apparel-Clothing Mfg    ",
"102","531525","Ace Software Exports","436.60","7.65","1.78","76","65","99","A","57","274.53","6504","14896","-2.22","1942.62","-14.08","16.77","96.31","90.00","95.00","-","Computer-Tech Services  ",
"103","HCG","Healthcare Global Ents.","430.00","-0.40","-0.09","75","62","63","A-","69","5997.54","147063","342006","-6.87","37.07","-54.62","4.78","15.20","81.00","72.00","-","Medical-Hospitals       ",
"104","TEJASNET","Tejas Networks","1258.75","-32.00","-2.48","75","65","70","B","86","22655.24","985884","783225","-15.80","98.20","49.58","3.47","19.85","78.00","65.00","2017-06-27","Computer-Networking     ",
